pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
233.819288,324.255746,133.618888,711.724197,595.927368,322.100447,487.350605,738.873205
233.990000,323.960000,133.474646,711.937859,596.000000,322.010000,487.030430,737.292305
233.960000,323.920000,132.990000,711.970000,596.000000,322.000000,487.110000,736.180000
233.940000,323.870000,132.970000,711.960000,596.030000,322.000000,487.040000,734.990000
233.940000,323.830000,132.980000,711.950000,595.970000,322.010000,487.080000,734.010000
233.920000,323.800000,132.970000,711.910000,596.010000,321.960000,487.110000,733.030000
233.910000,323.760000,132.960000,711.900000,596.030000,321.980000,487.160000,732.030000
233.900000,323.700000,132.960000,711.880000,595.990000,321.970000,487.170000,731.010000
233.880000,323.650000,132.950000,711.850000,596.010000,321.960000,487.190000,730.010000
233.880000,323.590000,132.950000,711.810000,596.030000,321.980000,487.220000,729.020000
233.890000,323.470000,132.950000,711.800000,596.010000,321.990000,487.270000,728.060000
234.000000,323.010000,132.950000,711.760000,596.000000,321.980000,487.260000,727.070000
233.990000,322.970000,132.950000,711.730000,595.990000,321.990000,487.280000,726.130000
233.970000,322.930000,132.940000,711.700000,595.980000,322.010000,488.441503,725.676880
233.960000,322.900000,132.950000,711.660000,595.980000,321.980000,488.900000,725.670000
233.950000,322.860000,132.950000,711.620000,595.990000,321.970000,489.070000,724.930000
233.940000,322.840000,132.950000,711.600000,595.970000,322.000000,489.020000,723.940000
233.940000,322.790000,132.960000,711.600000,596.000000,321.990000,489.000000,723.010000
233.950000,322.760000,132.970000,711.590000,596.000000,321.990000,489.000000,722.110000
233.930000,322.720000,132.970000,711.580000,595.990000,321.970000,489.010000,721.260000
233.920000,322.670000,132.970000,711.590000,595.970000,321.970000,489.579903,720.055902
233.920000,322.640000,132.970000,711.560000,595.980000,321.990000,489.980000,719.150000
233.930000,322.600000,132.980000,711.570000,595.980000,322.010000,489.959369,718.931707
233.940000,322.510000,132.990000,711.580000,595.980000,322.000000,490.010000,718.250000
