pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
188.072132,277.916791,95.274759,626.726750,552.832551,269.876584,440.111241,668.494073
188.080000,278.070000,95.232021,626.726750,553.870094,269.876584,441.769536,670.950477
188.150000,278.120000,95.274759,626.600135,553.870094,269.876584,441.769536,672.354137
188.230000,278.170000,94.990000,627.000000,554.388865,269.876584,441.769536,672.354137
188.340000,278.240000,94.970000,627.000000,554.648250,270.260807,440.111241,672.705052
188.440000,278.260000,94.960000,626.990000,554.648250,270.260807,438.926745,672.705052
189.000000,278.160000,94.940000,626.970000,555.167022,272.181925,438.926745,672.705052
189.070000,278.260000,94.920000,626.960000,556.463950,274.487267,438.926745,672.705052
189.120000,278.330000,94.890000,626.920000,556.463950,273.334596,438.926745,672.705052
189.190000,278.400000,94.850000,626.890000,557.242106,273.334596,436.083955,671.301392
189.230000,278.510000,94.790000,626.830000,557.501492,273.718819,435.180000,669.430000
189.110000,279.020000,94.750000,626.780000,557.501492,273.718819,434.740000,667.820000
189.190000,279.070000,94.690000,626.710000,557.501492,273.718819,434.810000,666.070000
189.280000,279.130000,94.640000,626.600000,557.501492,273.718819,435.540000,664.970000
189.410000,279.180000,94.760000,626.010000,558.279649,274.487267,436.510000,663.980000
189.980000,279.050000,94.680000,625.950000,558.539034,274.487267,437.150000,662.530000
190.050000,279.110000,94.570000,625.900000,558.539034,274.487267,438.030000,661.520000
190.130000,279.180000,94.260000,625.970000,558.539034,274.487267,436.557753,661.124861
190.200000,279.270000,94.170000,625.890000,558.539034,274.487267,438.180000,660.300000
190.260000,279.310000,94.090000,625.800000,558.798420,274.487267,439.300000,659.250000
190.360000,279.360000,94.030000,625.670000,558.798420,274.487267,440.070000,657.640000
190.520000,279.400000,94.020000,625.360000,558.798420,274.487267,438.452947,655.861138
191.040000,279.260000,94.040000,624.960000,559.317191,276.408385,440.530000,653.720000
191.110000,279.320000,93.980000,624.870000,560.095348,277.176832,441.570000,651.970000
191.150000,279.410000,93.900000,624.780000,560.095348,277.176832,442.370000,649.900000
191.200000,279.530000,93.860000,624.600000,560.095348,277.176832,443.060000,647.860000
191.080000,279.990000,93.920000,624.010000,560.095348,277.176832,443.880000,645.920000
191.140000,280.030000,93.840000,623.910000,560.095348,277.176832,444.590000,644.020000
191.230000,280.070000,93.740000,623.820000,560.095348,277.176832,444.760000,641.830000
191.300000,280.110000,93.550000,623.780000,561.132890,276.792608,444.780000,639.730000
191.430000,280.120000,93.260000,623.780000,561.392276,277.561055,444.830000,637.750000
191.960000,280.000000,93.160000,623.600000,561.392276,277.561055,444.400000,635.200000
192.000000,280.030000,93.280000,622.990000,559.835962,277.945279,443.800000,632.730000
192.050000,280.070000,93.380000,622.420000,559.835962,277.945279,442.800000,629.930000
192.120000,280.110000,93.320000,622.200000,559.835962,277.945279,441.800000,627.260000
192.170000,280.130000,93.180000,622.130000,559.835962,277.945279,441.150000,624.990000
192.200000,280.150000,93.100000,622.030000,559.835962,277.945279,441.532637,623.226054
192.270000,280.160000,93.020000,621.920000,559.835962,277.945279,442.060000,621.400000
192.310000,280.160000,92.950000,621.810000,559.835962,277.945279,443.050000,620.640000
192.340000,280.170000,92.900000,621.660000,559.835962,277.945279,444.020000,619.890000
192.390000,280.160000,92.880000,621.420000,559.835962,277.945279,444.920000,619.010000
192.450000,280.140000,92.920000,620.950000,559.835962,277.945279,445.690000,618.170000
192.950000,279.960000,92.850000,620.860000,559.835962,277.945279,445.910000,617.080000
192.950000,279.970000,92.770000,620.750000,559.835962,277.945279,446.080000,615.960000
192.960000,279.950000,92.730000,620.620000,560.095348,277.945279,446.150000,614.830000
192.970000,279.940000,92.870000,619.980000,560.614119,277.176832,445.950000,613.420000
192.960000,279.920000,92.960000,619.440000,560.614119,277.176832,445.790000,612.100000
192.980000,279.910000,92.910000,619.340000,560.614119,277.176832,445.780000,611.150000
192.970000,279.880000,92.860000,619.250000,559.835962,275.255714,445.840000,610.310000
192.970000,279.870000,92.810000,619.140000,559.835962,275.255714,445.810000,609.400000
192.960000,279.860000,92.770000,619.050000,559.835962,274.871490,445.930000,608.870000
192.950000,279.830000,92.710000,619.000000,559.835962,274.871490,445.550000,607.870000
192.950000,279.790000,92.640000,618.980000,559.057806,273.334596,444.980000,606.980000
192.930000,279.740000,92.560000,618.950000,559.057806,273.334596,444.090000,605.900000
192.920000,279.720000,92.320000,619.050000,559.057806,270.645031,442.717133,603.574821
192.900000,279.690000,92.270000,619.060000,559.057806,270.645031,442.940000,603.770000
192.890000,279.600000,92.230000,619.040000,559.057806,270.645031,443.080000,603.570000
192.880000,279.530000,92.200000,619.030000,558.798420,270.260807,442.910000,603.140000
193.060000,279.060000,92.180000,619.030000,558.798420,270.260807,442.700000,602.760000
193.020000,279.010000,92.170000,619.020000,559.317191,270.260807,442.670000,602.370000
192.980000,278.970000,92.130000,619.030000,559.317191,270.260807,442.680000,602.140000
192.960000,278.930000,92.140000,619.060000,559.317191,270.260807,442.954032,601.469332
192.920000,278.890000,92.130000,619.090000,559.317191,270.260807,443.050000,601.000000
192.910000,278.850000,92.120000,619.130000,558.798420,269.108136,443.070000,601.010000
192.880000,278.800000,92.120000,619.160000,560.614119,268.723913,443.100000,601.030000
192.840000,278.760000,92.120000,619.200000,560.614119,268.723913,443.160000,601.050000
192.810000,278.710000,92.110000,619.270000,561.651662,268.723913,443.230000,601.170000
192.810000,278.650000,92.130000,619.320000,561.651662,268.723913,441.058838,603.223906
192.800000,278.580000,92.120000,619.410000,561.651662,268.723913,438.990000,604.790000
192.399376,277.168972,92.110000,619.530000,561.651662,268.723913,438.452947,603.574821
192.070000,276.760000,91.980000,620.030000,560.873505,268.723913,437.742249,606.382140
192.060000,276.720000,91.990000,620.130000,560.614119,268.723913,437.010000,607.980000
191.960000,276.910000,91.970000,620.200000,560.614119,268.723913,436.320854,608.487629
191.950000,276.870000,91.980000,620.280000,560.614119,268.723913,435.373257,610.944033
191.960000,276.840000,92.000000,620.360000,559.835962,268.723913,435.373257,612.698608
191.940000,276.820000,91.990000,620.480000,559.835962,268.723913,436.083955,614.453182
191.930000,276.780000,91.860000,621.040000,559.576577,269.108136,436.557753,616.909586
191.920000,276.760000,91.620000,621.760000,558.539034,269.108136,435.373257,620.769650
191.930000,276.720000,91.510000,621.920000,558.539034,269.108136,436.320854,623.927884
191.930000,276.700000,91.630000,621.880000,558.798420,268.723913,436.320854,624.278799
191.910000,276.680000,91.720000,621.910000,559.317191,268.339689,436.320854,626.033373
191.910000,276.660000,91.740000,621.980000,559.317191,268.339689,436.557753,628.489777
191.920000,276.650000,91.740000,622.080000,559.317191,268.339689,436.557753,628.489777
191.930000,276.640000,91.760000,622.120000,561.392276,268.723913,436.794652,631.648011
191.930000,276.670000,91.760000,622.200000,561.392276,268.723913,436.794652,633.753500
191.950000,276.640000,91.820000,622.220000,561.392276,268.723913,436.794652,636.911734
191.950000,276.650000,91.840000,622.290000,561.132890,269.492360,436.794652,637.262649
191.940000,276.660000,91.920000,622.290000,560.873505,269.492360,436.794652,640.069968
191.960000,276.650000,91.950000,622.350000,560.873505,269.492360,436.690000,641.870000
191.970000,276.640000,91.970000,622.410000,560.873505,269.492360,437.031552,644.982776
191.960000,276.650000,91.980000,622.530000,560.873505,269.492360,437.505350,647.088266
191.980000,276.620000,91.730000,623.210000,560.873505,269.492360,437.990000,648.690000
191.960000,276.620000,91.200000,624.290000,559.835962,269.492360,438.100000,650.200000
191.970000,276.590000,91.010000,624.910000,560.354734,267.955466,438.140000,651.680000
191.940000,276.580000,90.950000,625.290000,560.873505,268.339689,438.440000,652.960000
191.960000,276.570000,90.900000,625.550000,560.873505,269.876584,438.990000,653.970000
191.960000,276.550000,90.880000,625.710000,560.873505,270.260807,437.031552,657.264797
191.960000,276.520000,90.920000,625.770000,560.873505,270.260807,436.160000,658.680000
192.110000,276.140000,90.950000,625.850000,560.873505,270.260807,437.505350,657.966627
192.100000,276.140000,90.970000,625.930000,560.873505,270.260807,438.080000,658.280000
192.120000,276.150000,90.990000,626.000000,560.873505,270.645031,438.780000,659.230000
192.130000,276.160000,91.000000,626.060000,560.873505,271.029254,436.794652,662.528520
192.120000,276.140000,91.020000,626.160000,560.873505,271.029254,437.040000,663.190000
192.130000,276.150000,91.040000,626.230000,561.392276,273.718819,437.030000,663.260000
192.120000,276.150000,91.050000,626.330000,561.651662,274.103043,437.030000,663.090000
192.120000,276.160000,91.080000,626.420000,561.651662,274.103043,437.505350,664.984924
192.100000,276.180000,90.970000,626.930000,563.986132,275.639937,437.960000,665.170000
192.090000,276.170000,91.000000,626.980000,564.245518,278.713726,437.940000,665.360000
192.100000,276.170000,91.020000,627.050000,564.245518,278.713726,437.910000,665.420000
192.090000,276.180000,91.040000,627.100000,564.504903,278.713726,437.930000,665.650000
