pt1_cam1_Z,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_Z,pt2_cam2_X,pt2_cam2_Y
320.596888,437.485087,488.821529,315.814779,781.753958,487.624722
320.259249,437.06,489.05,315.440047,781.88,488.69
319.99,437.11,489.1,315.065316,781.8,489.18
319.97,437.17,489.15,317.313707,781.6,489.9
319.97,437.21,489.2,315.440047,785.45656,495.103725
319.94,437.26,489.23,314.315852,786.47,495.68
319.93,437.3,489.25,314.690584,788.87,496.64
319.89,437.32,489.29,312.816924,789.91,496.53
319.88,437.33,489.3,311.317997,791.84,496.53
319.84,437.33,489.29,317.623838,792.79,496.23
319.79,437.33,489.27,311.128486,793.8,495.72
319.75,437.32,489.25,311.128486,794.6,494.95
319.7,437.29,489.24,310.379022,794.6,494.08
319.65,437.28,489.21,310.379022,794.34,492.81
319.56,437.24,489.21,310.379022,779.061156,490.117723
319.15,437.21,489.18,310.129201,780.070957,487.624722
319.11,437.17,489.14,308.380452,779.13,484.96
319.07,437.13,489.1,308.380452,778.32,481.91
319.03,437.08,489.06,309.629558,778.724556,479.647118
318.98,437.03,489.02,309.129916,779.734357,478.649917
318.95,436.99,488.98,311.378307,780.47,477.14
318.91,436.93,488.95,311.128486,781.11,475.83
318.87,436.87,488.9,309.87938,783.436959,474.162515
318.82,436.81,488.86,310.628843,784.52,473.09
318.78,436.76,488.8,311.87795,785.61,472.02
318.73,436.69,488.75,309.87938,786.75,471.01
318.68,436.66,488.64,309.87938,780.744157,463.19331
318.56,436.63,488.48,310.129201,780.744157,463.19331
318.16,436.75,488,310.129201,780.47,461.29
318.12,436.65,487.96,308.880095,780.45,459.8
318.08,436.48,487.93,308.880095,782.427158,458.705908
318.04,436.22,487.94,308.880095,782.49,457.94
318.02,436.15,487.89,308.880095,782.45,456.79
317.99,436.1,487.82,310.878665,781.753958,448.235303
317.98,436.06,487.73,313.626698,780.744157,445.243701
317.95,436.03,487.6,309.629558,780.744157,445.243701
317.92,436.2,487.03,309.629558,780.407557,445.243701
317.89,436.14,486.99,309.629558,780.407557,442.2521
317.87,436.08,486.95,309.629558,780.407557,441.254899
317.98,436.04,486.89,308.880095,780.744157,440.756299
317.95,436,486.86,308.880095,779.061156,439.260498
317.94,435.96,486.82,308.380452,779.061156,439.260498
317.92,435.93,486.76,308.380452,777.714756,438.263298
317.9,435.92,486.73,307.131346,777.714756,438.263298
317.89,435.9,486.7,307.131346,776.704955,434.773096
317.89,435.89,486.69,307.630989,776.67,434.5
317.88,435.87,486.7,307.381167,776.44,434.1
317.87,435.85,486.71,307.02,776.33,433.9
317.88,435.83,486.75,307.04,776.34,433.43
317.88,435.83,486.79,307.08,776.21,433.2
317.89,435.82,486.83,307.11,776.09,433.16
317.88,435.82,486.87,307.13,775.94,433.15
317.91,435.84,486.91,307.16,775.84,433.18
317.93,435.87,486.97,307.17,774.685354,433.277295
317.94,435.91,487.02,307.16,774.7,433.2
317.95,435.94,487.09,307.15,774.25,433.71
317.96,435.96,487.18,307.13,774.12,434.04
317.98,435.97,487.33,307.13,774.01,434.11
317.99,435.96,487.49,307.14,774.348754,433.277295
318,435.82,488.02,311.03,774.87,433.15
318.01,435.88,488.11,313.25,775.06,433.78
318.02,435.89,488.26,315.05,772.329153,437.266097
318.03,435.89,488.48,316.79,774.012154,435.770297
318.06,435.75,489.04,316.99,775.02,436.54
318.07,435.41,489.83,317.14,775.87,437.76
318.06,435.15,490.41,316.93,776.81,439.14
318.09,435.11,490.71,316.98,777.73,440.78
318.1,435.15,490.87,317.03,778.69,442.49
318.11,435.18,490.99,317.06,779.64,444.36
318.11,435.24,491.1,317.1,780.75,445.81
318.14,435.28,491.28,317.1,781.68,448.08
318.15,435.2,491.63,317.14,781.34,451.36
318.15,435.11,492.1,317.21,780.77,454.79
318.17,434.92,492.84,317.28,780.02,458.26
318.17,434.91,493.18,317.3,779.14,461.73
318.17,434.86,493.55,317.3,778.34,464.86
318.16,434.81,493.82,317.26,778.051356,473.165315
318.15,434.86,493.95,317.23,778.08,475.34
318.14,434.91,494.06,317.22,778.12,477.51
318.15,434.91,494.21,317.25,782.763758,479.647118
318.13,434.9,494.43,319.1,783.97,481.75
318.12,434.72,495.04,321.14,785.68,482.8
318.11,434.37,495.84,322.73,782.763758,485.630321
318.12,434.1,496.44,323.03,782.763758,484.63312
318.1,434.09,496.68,323.12,782.763758,485.630321
318.09,434.1,496.84,322.92,784.110159,490.616323
318.08,434.14,496.93,323.02,784.62,492.45
318.1,434.18,497.03,323.1,784.6,494.09
318.1,434.21,497.14,323.18,784.446759,496.100926
318.1,434.24,497.27,323.3,783.99,497.5
318.1,434.21,497.5,323.39,783.92,498.84
318.09,434.09,498.03,323.52,783.88,500.04
318.1,434.12,498.13,324.41,783.78,501.2
318.09,434.15,498.24,324.95,783.64,502.27
318.08,434.13,498.44,325.36,783.43,503.34
318.08,434,499,325.47,782.98,504.23
318.07,434.04,499.06,325.55,782.82,505.14
318.07,434.07,499.14,325.74,781.080757,511.557533
318.07,434.09,499.25,325.87,780.82,512.54
318.07,434.09,499.39,326.06,780.22,513.49
318.06,433.93,499.96,326.07,780.11,513.94
318.05,433.96,500.01,326.09,780.03,514.34
318.03,433.99,500.06,326.2,779.93,514.88
318.03,434.01,500.13,325.88,779.75,515.24
318.02,434.02,500.2,325.94,779.43,515.84
318,434.04,500.26,325.92,784.446759,516.543536
317.99,434.04,500.36,325.77,784.09,517.03
317.99,434.02,500.43,325.6,784.42,516.85
317.97,433.87,500.95,325.02,784.87,516.66
317.96,433.87,500.97,324.99,785.06,516.04
317.94,433.85,500.99,324.98,781.753958,516.543536
317.93,433.85,501,324.97,783.773559,519.036537
