pt1_cam1_Z,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_Z,pt2_cam2_X,pt2_cam2_Y
332.355589,540.376722,455.083274,302.208229,838.037655,472.494597
332.182494,539.98,455,302.02,837.35527,473.168468
331.836302,539.96,455,302.03,837.02,473.05
331.836302,539.95,454.99,302.01,838.265116,472.157662
331.836302,539.93,454.99,302,837.810193,473.842338
331.836302,539.91,454.99,302.02,836.217961,475.863949
331.836302,539.88,454.99,302.01,836.217961,475.863949
331.836302,539.87,454.99,302,836.217961,475.863949
331.836302,539.84,454.99,301.99,835.9905,476.200884
331.836302,539.8,455,301.99,835.9905,476.200884
331.836302,539.76,455,301.99,835.9905,476.200884
332.009398,539.73,455,302.04,835.9905,476.200884
332.009398,539.66,455.01,301.99,835.9905,477.548625
331.49011,539.63,455.01,302,835.9905,477.548625
330.98,539.57,455.03,302.01,835.9905,477.548625
331.49011,539.48,455.06,302.02,835.9905,478.559431
331.04,539.17,455.22,301.99,835.9905,478.559431
330.96,539.14,455.23,302,835.9905,478.559431
330.95,539.13,455.2,302.02,835.9905,478.559431
330.93,539.12,455.19,303.259526,834.62573,479.233301
330.92,539.08,455.19,303.575047,834.62573,479.233301
330.89,539.06,455.17,304.01,835.535576,477.548625
330.88,539.04,455.16,303.575047,835.96,477.96
332.182494,539.03,455.15,303.98,835.95,478.05
332.13,539.02,455.14,303.97,835.93,478.07
331.97,538.99,455.13,304,835.92,478.09
331.94,538.96,455.12,303.98,835.080653,477.88556
331.93,538.95,455.11,304,834.73,478.01
331.92,538.93,455.09,304.01,834.69,478.01
331.9,538.9,455.08,303.890567,834.96,478.05
331.89,538.85,455.08,303.97,834.96,478.05
331.87,538.81,455.06,303.890567,834.98,478.03
331.86,538.76,455.07,303.890567,834.98,478.03
331.836302,538.72,455.05,303.890567,835.01,478
331.99,538.65,455.05,303.98,835.04,477.97
331.96,538.58,455.06,303.890567,835.07,477.93
331.94,538.51,455.07,303.890567,835.11,477.89
