pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
425.615948,875.466935,336.281301,382.867499,995.830908,906.694546,787.358871,410.701055
425.960000,875.000000,335.960000,382.990000,995.960000,906.950000,789.157825,411.589309
425.910000,874.980000,335.900000,382.970000,995.970000,906.900000,788.758057,410.108886
425.880000,874.960000,335.860000,382.960000,995.940000,906.880000,788.158406,410.108886
425.830000,874.970000,335.800000,382.950000,995.960000,906.860000,789.157825,407.740211
425.760000,874.950000,335.730000,382.940000,995.950000,906.850000,788.558174,408.332380
425.690000,874.920000,335.670000,382.920000,995.910000,906.840000,788.358290,408.036295
425.590000,874.920000,335.600000,382.900000,995.890000,906.870000,788.758057,406.851958
425.480000,874.900000,335.460000,382.890000,996.551302,905.983141,788.558174,406.555873
425.210000,874.900000,335.280000,382.890000,997.020000,906.020000,789.157825,404.779367
425.130000,874.880000,335.200000,382.880000,997.060000,905.960000,788.358290,405.075451
425.090000,874.870000,335.150000,382.860000,997.080000,906.010000,788.200000,404.570000
425.010000,874.850000,335.100000,382.830000,997.080000,905.990000,788.310000,403.750000
424.970000,874.830000,335.040000,382.810000,997.120000,905.990000,788.320000,402.790000
424.910000,874.810000,335.000000,382.780000,997.140000,905.970000,788.350000,401.870000
424.840000,874.800000,334.960000,382.750000,997.150000,905.970000,788.390000,400.930000
424.780000,874.750000,334.910000,382.750000,997.180000,905.940000,788.758057,399.153763
424.680000,874.740000,334.880000,382.720000,997.260000,905.920000,788.960000,398.140000
424.620000,874.730000,334.810000,382.700000,996.311171,905.983141,788.940000,397.210000
424.430000,874.710000,334.760000,382.670000,996.050000,905.980000,789.030000,396.510000
424.170000,874.710000,334.700000,382.650000,996.120000,905.990000,789.240000,395.900000
424.100000,874.630000,334.630000,382.640000,996.200000,905.970000,789.210000,395.010000
424.030000,874.660000,334.530000,382.620000,996.280000,905.960000,789.150000,394.100000
423.970000,874.630000,334.370000,382.600000,996.430000,905.920000,789.100000,393.260000
423.910000,874.610000,334.320000,382.570000,996.680000,905.920000,789.540000,392.840000
423.880000,874.570000,334.280000,382.550000,997.420000,905.780000,789.980000,392.210000
423.810000,874.580000,334.230000,382.460000,997.920000,905.790000,790.230000,391.750000
423.760000,874.560000,334.180000,381.980000,998.250000,905.740000,790.690000,391.050000
423.700000,874.570000,334.120000,381.950000,999.673009,905.983141,790.610000,390.230000
423.610000,874.480000,334.070000,381.940000,1000.070000,905.990000,790.870000,389.780000
423.540000,874.120000,334.020000,381.910000,1000.160000,905.980000,790.850000,389.030000
423.220000,874.120000,333.980000,381.880000,1000.170000,905.970000,790.760000,388.270000
423.140000,874.100000,333.930000,381.870000,1000.200000,905.990000,790.980000,387.860000
423.090000,874.100000,333.890000,381.850000,1000.310000,905.960000,790.860000,387.050000
423.030000,874.080000,333.840000,381.820000,1000.280000,905.960000,790.780000,386.350000
422.980000,874.060000,333.790000,381.800000,1000.633534,905.271736,790.960000,385.920000
