Trial_name,Species,Fish,Sequence,Date,InitialSpd_rpm,InitialSpd_cm,Fish_TL_cm,InitialSpd_BLs,ScaleL_cm/px,ScaleV_cm/px,Behavior,FPS
Bass1S01,Bass,Bass1,Bass1S01,7-Jul-16,187,24.592,15,1.63947,0.02683,0.03207,S,1000
Bass1S02,Bass,Bass1,Bass1S02,7-Jul-16,205,27.1318,15,1.80879,0.02683,0.03207,S,1000
Bass1S03,Bass,Bass1,Bass1S03,7-Jul-16,235,31.3648,15,2.09099,0.02683,0.03207,B,1000
Bass1S04,Bass,Bass1,Bass1S04,7-Jul-16,117,14.715,15,0.981,0.02683,0.03207,S,1000
Bass1S05,Bass,Bass1,Bass1S05,7-Jul-16,117,14.715,15,0.981,0.02683,0.03207,B,1000
Bass1S06,Bass,Bass1,Bass1S06,7-Jul-16,235,31.3648,15,2.09099,0.02683,0.03207,B,1000
Bass1S07,Bass,Bass1,Bass1S07,7-Jul-16,144,18.5247,15,1.23498,0.02683,0.03207,B,1000
Bass1S08,Bass,Bass1,Bass1S08,9-Jul-16,235,31.3648,15,2.09099,0.02697,0.03209,A,1000
Bass1S09,Bass,Bass1,Bass1S09,9-Jul-16,235,31.3648,15,2.09099,0.02697,0.03209,A,1000
Bass1S10,Bass,Bass1,Bass1S10,9-Jul-16,235,31.3648,15,2.09099,0.02697,0.03209,B,1000
Bass1S11,Bass,Bass1,Bass1S11,9-Jul-16,235,31.3648,15,2.09099,0.02697,0.03209,S,1000
Bass1S12,Bass,Bass1,Bass1S12,9-Jul-16,235,31.3648,15,2.09099,0.02697,0.03209,S,1000
Bass1S13,Bass,Bass1,Bass1S13,9-Jul-16,235,31.3648,15,2.09099,0.02697,0.03209,B,1000
Bass1S14,Bass,Bass1,Bass1S14,9-Jul-16,117,14.715,15,0.981,0.02697,0.03209,A,1000
Bass1S15,Bass,Bass1,Bass1S15,9-Jul-16,117,14.715,15,0.981,0.02697,0.03209,B,1000
Bass1S16,Bass,Bass1,Bass1S16,9-Jul-16,117,14.715,15,0.981,0.02697,0.03209,S,1000
Bass1S17,Bass,Bass1,Bass1S17,9-Jul-16,117,14.715,15,0.981,0.02697,0.03209,S,1000
Bass1S18,Bass,Bass1,Bass1S18,9-Jul-16,117,14.715,15,0.981,0.02697,0.03209,A,1000
Bass1S19,Bass,Bass1,Bass1S19,9-Jul-16,117,14.715,15,0.981,0.02697,0.03209,A,1000
Bass1S20,Bass,Bass1,Bass1S20,9-Jul-16,117,14.715,15,0.981,0.02697,0.03209,A,1000
Bass1S21,Bass,Bass1,Bass1S21,12-Jul-16,236,31.5059,15,2.10039,0.03104,0.03778,B,1000
Bass1S22,Bass,Bass1,Bass1S22,12-Jul-16,336,45.6159,15,3.04106,0.03104,0.03778,B,1000
Bass1S23,Bass,Bass1,Bass1S23,12-Jul-16,179,23.4632,15,1.56421,0.03104,0.03778,S,1000
BTrout1S01,Btrout,BTrout1,BTrout1S01,1-Jul-16,142,18.2425,9,2.02694,0.02736,0.03214,S,500
BTrout1S02,Btrout,BTrout1,BTrout1S02,1-Jul-16,142,18.2425,9,2.02694,0.02736,0.03214,S,500
BTrout1S03,Btrout,BTrout1,BTrout1S03,1-Jul-16,142,18.2425,9,2.02694,0.02736,0.03214,S,500
BTrout1S04,Btrout,BTrout1,BTrout1S04,1-Jul-16,72,8.3655,9,0.9295,0.02736,0.03214,S,500
BTrout1S05,Btrout,BTrout1,BTrout1S05,1-Jul-16,211,27.9784,9,3.10871,0.02736,0.03214,S,500
BTrout1S06,Btrout,BTrout1,BTrout1S06,1-Jul-16,281,37.8554,9,4.20616,0.02736,0.03214,S,500
BTrout1S07a,Btrout,BTrout1,BTrout1S07a,1-Jul-16,281,37.8554,9,4.20616,0.02736,0.03214,S,500
BTrout1S08,Btrout,BTrout1,BTrout1S08,1-Jul-16,281,37.8554,9,4.20616,0.02736,0.03214,A,500
BTrout1S09,Btrout,BTrout1,BTrout1S09,1-Jul-16,71,8.2244,9,0.91382,0.02736,0.03214,S,500
BTrout1S10,Btrout,BTrout1,BTrout1S10,1-Jul-16,281,37.8554,9,4.20616,0.02736,0.03214,B,500
BTrout1S11,Btrout,BTrout1,BTrout1S11,1-Jul-16,383,52.2476,9,5.80529,0.02736,0.03214,B,500
BTrout2S01,Btrout,BTrout2,BTrout2S01,5-Jul-16,133,16.9726,8.5,1.99678,0.02702,0.03207,A,500
BTrout2S02,Btrout,BTrout2,BTrout2S02,5-Jul-16,133,16.9726,8.5,1.99678,0.02702,0.03207,A,500
BTrout2S03,Btrout,BTrout2,BTrout2S03,5-Jul-16,199,26.2852,8.5,3.09238,0.02702,0.03207,B,500
BTrout2S04,Btrout,BTrout2,BTrout2S04,5-Jul-16,199,26.2852,8.5,3.09238,0.02702,0.03207,B,500
BTrout2S05,Btrout,BTrout2,BTrout2S05,5-Jul-16,199,26.2852,8.5,3.09238,0.02702,0.03207,B,1000
BTrout2S07,Btrout,BTrout2,BTrout2S07,5-Jul-16,250,33.4813,8.5,3.93898,0.02702,0.03207,B,1000
BTrout2S14a,Btrout,BTrout2,BTrout2S14a,6-Jul-16,66,7.5189,8.5,0.88458,0.02687,0.03215,A,1000
